id,name,grade
427,Roya,15.35
428,Morteza,0.82
429,Navid,3.8
430,Behnam,15.39
431,Quinn,2.94
432,Neda,6.4
433,Alireza,6.3
434,Alireza,5.64
435,Shayan,8.22
436,Dariush,15.17
437,Kamran,4.73
438,Ali,11.67
439,Steve,1.64
440,Mandana,2.7
441,Nasrin,12.17
442,Sara,1.64
443,Narges,19.61
444,Azar,18.89
445,Paul,17.49
446,Pouya,8.06
447,Mahdi,18.16
448,Sohrab,5.7
449,Tina,2.6
450,Parsa,6.2
451,Kate,6.6
452,Shayan,8.49
453,Helen,13.56
454,Kamran,0.69
455,Azadeh,15.21
456,Kiana,3.97
457,Mehrdad,8.05
458,Paul,17.19
459,Afshin,11.97
460,Amir,1.76
461,Ivy,14.37
462,Ghazal,3.38
463,Quinn,17.34
464,Masoud,4.35
465,Parsa,19.87
466,Mohsen,4.21
467,Pegah,11.57
468,Ivy,5.67
469,Ramin,6.53
470,Sahar,12.09
471,Younes,13.72
472,Grace,11.24
473,Anahita,15.12
474,Sepideh,19.13
475,Rose,16.2
476,Ivy,7.38
477,Yasaman,6.33
478,Babak,6.93
479,Mohammad,15.85
480,Frank,15.26
481,Farzaneh,11.46
482,Rose,10.85
483,Shiva,4.74
484,Farzaneh,9.45
485,Bahram,3.23
486,Goli,11.09
487,Anahita,2.68
488,Alice,7.14
489,Mina,3.79
490,Keyvan,7.87
491,Parsa,12.77
492,Bahareh,4.67
493,Jack,9.46
494,Nader,7.42
495,Mojtaba,10.41
496,Ziba,6.73
497,Alireza,5.16
498,Behnam,16.15
499,Atiyeh,10.68
500,Negin,19.85
501,Tina,13.51
502,Nasrin,0.25
503,Parvin,3.84
504,Parsa,2.38
505,Charlie,3.56
506,Ehsan,14.35
507,Taraneh,8.23
508,Kiana,17.85
509,Elnaz,16.32
510,Fariba,9.57
511,Shayan,11.59
512,Navid,11.75
513,Babak,16.25
514,Pouya,17.08
515,Mina,14.65
516,Bob,16.39
517,Mina,16.1
518,Ladan,0.4
519,Pouya,1.07
520,Pegah,3.26
521,Masoud,17.88
522,Shayan,11.91
523,Ali,9.35
524,Fereshte,15.15
525,Sepideh,2.78
526,Dariush,4.62
527,Sohrab,5.56
528,Ladan,4.67
529,Elaheh,12.77
530,Arman,19.11
531,Masoud,7.95
532,Mahdi,2.0
533,Mahdi,8.75
534,Hossein,0.57
535,Ladan,7.84
536,Afshin,17.74
537,Farshid,7.82
538,Taraneh,13.4
539,Vahid,12.19
540,Morteza,10.51
541,Ghazal,18.04
542,Kamran,17.39
543,Milad,14.19
544,Fereshte,16.1
545,Dariush,6.56
546,Shahram,15.54
547,Bahram,12.29
548,Shabnam,1.7
549,Dariush,5.79
550,Dariush,3.42
551,Kiana,10.6
552,Yasaman,8.31
553,Dorsa,6.94
554,Kamran,7.6
555,Rasoul,19.62
556,Mona,4.14
557,Quinn,3.28
558,Shervin,8.1
559,Pouya,2.37
560,Amir,17.29
561,Arman,9.95
562,Mahdi,15.77
563,Behzad,15.27
564,Azadeh,1.36
565,Pouneh,4.61
566,Neda,8.82
567,Ziba,10.55
568,Ivy,19.39
569,Arash,18.64
570,Leila,12.67
571,Elham,8.59
572,Fereshte,19.13
573,Setareh,11.22
574,Farzaneh,19.21
575,Alice,1.4
576,Bob,0.22
577,Amir,15.06
578,Roya,15.82
579,Eva,12.95
580,Taraneh,16.12
581,David,7.83
582,Simin,11.4
583,Hossein,8.39
584,Mina,16.42
585,Dorsa,19.7
586,Golnaz,11.37
587,Negar,15.73
588,Mohsen,4.47
589,Mehrdad,12.0
590,Quinn,18.27
591,Mandana,19.99
592,Afshin,19.95
593,Behnam,13.39
594,Fereshte,1.37
595,Farhad,5.13
596,Mahdi,19.07
597,Sohrab,10.15
598,Nina,2.24
599,Sepideh,7.97
600,Morteza,18.82
601,Golnaz,0.63
602,Pegah,16.55
603,Homa,8.16
604,Roya,11.26
605,Shahab,9.99
606,Narges,16.45
607,Shirin,4.45
608,Arman,5.65
609,Behnam,9.58
610,Behnam,4.55
611,Taraneh,5.94
612,Helen,8.23
613,Shahram,17.71
614,Paul,16.58
615,Atiyeh,17.25
616,Hamid,7.98
617,Navid,2.52
618,Dariush,2.57
619,Jack,8.04
620,Yalda,17.09
621,Pouya,18.23
622,Steve,7.61
623,David,9.59
624,Ladan,8.59
625,Parsa,5.67
626,Niloufar,9.12
627,Siavash,12.77
628,Shayan,0.39
629,Arman,19.97
630,Azadeh,4.69
631,Alireza,16.58
632,David,6.81
633,Quinn,1.45
634,Jack,5.59
635,Jack,5.1
636,Vanda,2.7
637,Shirin,8.84
638,Samira,16.59
639,Narges,5.95
640,Maryam,17.1
641,Fariba,18.09
642,Nasim,1.41
643,Behnam,6.4
644,Yalda,10.59
645,Kamran,3.31
646,Jack,9.41
647,Pouya,13.36
648,Ivy,2.3
649,Frank,8.19
650,David,18.1
651,Ehsan,12.96
652,Rose,7.59
653,Dariush,18.44
654,Fariba,0.48
655,Leila,12.14
656,Mehrdad,5.01
657,Shahrzad,8.24
658,Shayan,12.25
659,Ghazal,19.48
660,Shahram,7.89
661,Soraya,5.95
662,Tina,7.45
663,Liam,3.55
664,Sepideh,12.27
665,Shabnam,7.15
666,Shervin,13.86
667,Pouneh,10.39
668,Elham,16.29
669,Negar,5.26
670,Hossein,1.87
671,Behnam,1.16
672,Ali,19.08
673,Hossein,7.33
674,Shahab,12.45
675,Nasim,9.61
676,Setareh,14.05
677,Afshin,13.46
678,Ehsan,1.15
679,Parvin,12.39
680,Bahareh,19.84
681,Quinn,18.61
682,Ali,9.39
683,Sohrab,7.87
684,Steve,4.43
685,Javad,14.82
686,Vanda,17.15
687,Yasaman,9.23
688,Morteza,7.77
689,Anahita,16.16
690,Sina,6.53
691,Keyvan,11.89
692,Mandana,4.85
693,Keyvan,18.67
694,Mahdi,6.96
695,Hassan,19.44
696,Reza,17.22
697,Dariush,8.21
698,Behnam,3.55
699,Fatemeh,6.04
700,Roya,9.54
701,Bahareh,7.73
702,Goli,1.27
703,Fereshteh,5.76
704,Oscar,5.64
705,Mona,14.63
706,Elaheh,17.64
707,Parvin,18.45
708,Pouneh,7.52
709,Sara,15.52
710,Negin,0.55
711,Mahdi,3.74
712,Hamid,6.55
713,Morteza,13.11
714,Roya,15.64
715,David,7.2
716,Shadi,17.77
717,Mohsen,3.8
718,Jack,19.98
719,Azadeh,15.61
720,Pouya,9.0
721,Tina,18.45
722,Parvin,7.22
723,Farshid,16.16
724,Parsa,10.01
725,Mohammad,13.8
726,Farzaneh,1.94
727,Golnaz,7.3
728,Charlie,8.94
729,Arash,14.95
730,Pegah,2.0
731,Liam,19.69
732,Taraneh,4.05
733,Frank,17.91
734,Sara,19.56
735,Elnaz,2.32
736,Vanda,8.81
737,Arman,3.15
738,Neda,17.6
739,Javad,2.27
740,Morteza,2.5
741,Frank,12.28
742,Sahar,0.73
743,Ziba,17.38
744,Simin,6.24
745,Shadi,16.84
746,Roya,16.3
747,David,11.09
748,Shadi,6.19
749,Golnaz,0.93
750,Arash,6.6
751,Narges,18.91
752,Shayan,16.35
753,Simin,13.77
754,Quinn,19.44
755,Ehsan,3.6
756,Leila,9.28
757,Shiva,18.26
758,Ziba,13.09
759,Farzaneh,16.67
760,Mona,16.21
761,Farzaneh,5.17
762,Steve,18.21
763,Shiva,2.18
764,Parsa,18.54
765,David,5.83
766,Javad,6.97
767,Elaheh,17.89
768,Pegah,17.43
769,Bahram,9.53
770,Rose,10.74
771,Yasaman,8.75
772,Bahareh,16.7
773,Anahita,6.76
774,Neda,5.07
775,Shahab,2.22
776,Grace,15.29
777,Ladan,19.78
778,Samira,3.34
779,Shervin,5.19
780,Younes,5.38
781,Shabnam,14.66
782,Eva,3.72
783,Shahram,14.22
784,Mohsen,3.2
785,Nasim,4.72
786,Parsa,8.86
787,Vanda,6.19
788,Golnaz,15.14
789,Roya,17.13
790,Shabnam,19.58
791,Fariba,6.11
792,Milad,8.73
793,Niloufar,9.74
794,Alice,4.85
795,Dariush,12.68
796,Kaveh,2.97
797,Arman,7.16
798,Hossein,12.8
799,Azadeh,8.81
800,Steve,10.33
801,Bahareh,3.9
802,Golnaz,7.58
803,Arman,14.33
804,Azar,13.91
805,Shabnam,14.76
806,Fatemeh,19.23
807,Pegah,10.02
808,Neda,10.3
809,Mehdi,13.83
810,Elnaz,18.86
811,Farshid,13.07
812,Arman,2.99
813,Afshin,2.49
814,Behnam,13.11
815,Babak,4.62
816,Paul,10.4
817,Parvin,2.5
818,Bob,15.47
819,Azadeh,8.11
820,Ghazal,7.34
821,Yalda,5.27
822,Pegah,9.09
823,Sahar,13.74
824,Hamid,7.7
825,Nasim,14.0
826,Navid,0.06
827,Elnaz,4.93
828,Nasrin,4.7
829,Pouya,2.86
830,Sepideh,16.37
831,Taraneh,9.29
832,Shervin,18.85
833,Farhad,5.07
834,David,1.41
835,Pegah,2.47
836,Hassan,14.23
837,Frank,10.75
838,Babak,6.45
839,Simin,5.37
840,Amir,17.18
841,Frank,9.38
842,Fereshteh,13.76
843,David,15.32
844,Vahid,4.43
845,Sepideh,10.73
846,Anahita,17.35
847,Shahab,13.87
848,Masoud,17.8
849,Setareh,1.87
850,Oscar,6.6
851,Shahrzad,5.34
852,Frank,7.06
853,Shabnam,8.43
854,Dariush,3.09
855,Elnaz,3.16
856,Kate,10.62
857,Setareh,9.99
858,Goli,9.13
859,Mandana,7.52
860,Mohsen,3.3
861,Leila,9.85
862,Kaveh,10.82
863,Keyvan,15.02
864,Yalda,7.46
865,Ghazal,8.54
866,Azar,3.54
867,Ramin,6.15
868,Javad,19.63
869,Keyvan,0.19
870,Ehsan,11.33
871,Paul,13.75
872,Morteza,0.39
873,Ziba,4.93
874,Reza,3.28
875,Fereshteh,3.43
876,Oscar,2.79
877,Azar,8.1
878,Ivy,3.43
879,Mona,1.35
880,Leila,0.3
881,Rose,18.6
882,David,14.44
883,Samira,0.69
884,Pouneh,7.61
885,Parvin,4.08
886,Hossein,11.62
887,Farzaneh,0.76
888,Mehrdad,1.77
889,Quinn,15.34
890,Fereshteh,8.52
891,Jack,13.78
892,Nader,7.77
893,Farshid,6.51
894,Fereshte,16.14
895,Arman,6.87
896,Taraneh,6.67
897,Fariba,9.14
898,Alice,3.04
899,Kate,9.11
900,Steve,0.93
901,Babak,13.29
902,Ghazal,11.02
903,Behzad,18.25
904,Shervin,14.32
905,Paul,9.63
906,Sepideh,8.68
907,Sohrab,15.03
908,Farzaneh,6.13
909,Keyvan,16.4
910,Leila,9.9
911,Vahid,9.5
912,Milad,16.32
913,Siavash,6.89
914,Negar,8.5
915,Bahram,2.47
916,Kaveh,0.86
917,Maryam,13.97
918,Masoud,9.91
919,Vanda,19.59
920,Steve,7.56
921,Farhad,3.54
922,Goli,15.44
923,Dorsa,15.64
924,Shayan,10.11
925,Paul,19.2
926,David,14.02
927,Leila,6.99
928,Ghazal,19.4
929,Ghazal,0.82
930,Paul,0.1
931,Hassan,14.76
932,Ladan,18.78
933,Ladan,2.8
934,Dorsa,0.26
935,Steve,5.06
936,Niloufar,8.36
937,Nina,14.42
938,Sara,7.15
939,Negin,14.15
940,Niloufar,4.2
941,Liam,8.78
942,Quinn,14.53
943,Sepideh,9.31
944,Paul,13.89
945,Quinn,2.88
946,Elaheh,1.48
947,Elnaz,4.73
948,Ramin,19.65
949,Shadi,10.47
950,Milad,3.68
951,Elham,17.53
952,Navid,0.44
953,Morteza,7.56
954,Mehrdad,3.65
955,Leila,9.56
956,Maryam,17.67
957,Hamid,5.81
958,Shirin,19.09
959,Ali,3.18
960,Navid,11.39
961,Shayan,3.61
962,Shahab,13.15
963,Shadi,10.45
964,Oscar,1.62
965,Mohsen,9.01
966,Pegah,7.86
967,Oscar,13.31
968,Bahareh,5.88
969,Fereshte,19.72
970,Ramin,12.83
971,Javad,14.66
972,Samira,7.26
973,Nasim,5.57
974,Shiva,4.13
975,Alireza,13.6
976,Arman,15.89
977,Golnaz,15.54
978,Morteza,4.39
979,David,3.33
980,Katayoun,13.55
981,Vahid,9.52
982,Simin,9.98
983,Fariba,7.42
984,Vahid,9.75
985,Quinn,14.67
986,Elnaz,9.33
987,Masoud,19.98
988,Arash,8.1
989,Fatemeh,11.01
990,Masoud,1.65
991,Quinn,18.04
992,Rasoul,9.17
993,Bahram,4.85
994,Kamran,15.81
995,Samira,16.89
996,Pouneh,17.17
997,Parsa,2.43
998,Samira,2.54
999,Sahar,5.86
1000,Katayoun,13.99
1001,Amir,1.14
1002,Farshid,0.71
1003,Sohrab,0.33
1004,Farzaneh,6.92
1005,Sohrab,8.72
1006,Leila,9.82
1007,Yalda,9.32
1008,Charlie,19.02
1009,Golnaz,2.95
1010,Azadeh,18.16
1011,Keyvan,9.23
1012,Nina,10.24
1013,Bahram,6.13
1014,Vahid,1.17
1015,Mehrdad,10.58
1016,Nina,11.72
1017,Milad,4.23
1018,Shayan,8.75
1019,Farshid,1.42
1020,Soraya,2.05
1021,Arman,4.77
1022,Reza,1.15
1023,Mehdi,1.86
1024,David,2.43
1025,Ziba,18.73
1026,Milad,8.72
1027,Kaveh,13.5
1028,Javad,11.03
1029,Sohrab,9.15
1030,Shahrzad,18.96
1031,Elaheh,8.66
1032,Fereshteh,10.82
1033,Atiyeh,5.77
1034,Fereshteh,1.22
1035,Shabnam,7.35
1036,Taraneh,0.76
1037,Pouya,12.09
1038,Shayan,15.94
1039,Neda,13.86
1040,Sohrab,17.93
1041,Shiva,5.91
1042,Fereshte,0.24
1043,Fereshteh,2.16
1044,Ivy,18.64
1045,Shahrzad,2.41
1046,Younes,10.4
1047,Shadi,16.67
1048,Navid,1.57
1049,Ghazal,8.37
1050,Roya,15.1
1051,Fatemeh,14.26
1052,Homa,1.96
1053,Farzaneh,10.68
1054,Rasoul,19.56
1055,Taraneh,16.43
1056,Mehdi,9.37
1057,Mehdi,14.09
1058,Helen,15.35
1059,Oscar,12.02
1060,Soraya,1.02
1061,Bahareh,17.64
1062,Soraya,4.1
1063,Rasoul,9.32
1064,Neda,5.27
1065,Shahrzad,19.93
1066,Rasoul,5.95
1067,Shadi,1.57
1068,Liam,9.28
1069,Bahram,1.46
1070,Elaheh,4.34
1071,Mehdi,10.95
1072,Mandana,17.8
1073,Mona,13.06
1074,Simin,9.54
1075,Parvin,12.35
1076,Shayan,19.16
1077,Niloufar,9.04
1078,Sohrab,9.88
1079,Masoud,7.85
1080,Fereshteh,6.27
1081,Shabnam,0.79
1082,Taraneh,9.81
1083,Homa,12.75
1084,Simin,0.6
1085,Shahrzad,16.96
1086,Katayoun,19.56
1087,Sahar,15.18
1088,Fatemeh,18.34
1089,Anahita,12.29
1090,Leila,0.23
1091,Azar,7.1
1092,Javad,5.49
1093,Hossein,14.31
1094,Mehdi,16.56
1095,Azar,12.24
1096,Navid,2.79
1097,Anahita,5.3
1098,Quinn,6.02
1099,Samira,5.49
1100,Fariba,17.0
1101,Shadi,2.58
1102,Bob,13.27
1103,Hamid,0.12
1104,Golnaz,15.26
1105,Farhad,14.63
1106,Kiana,17.38
1107,Maryam,18.29
1108,Farshid,10.8
1109,Simin,6.53
1110,Ehsan,12.13
1111,Nasim,3.4
1112,Mina,5.49
1113,Farhad,0.55
1114,Jack,15.99
1115,Katayoun,19.66
1116,David,3.22
1117,Pouya,9.67
1118,Navid,14.82
1119,Keyvan,7.26
1120,Mehrdad,4.07
1121,Younes,4.4
1122,Elnaz,3.95
1123,Farhad,10.39
1124,Helen,4.86
1125,Jack,19.84
1126,Mohsen,1.86
1127,Soraya,8.47
1128,Oscar,7.35
1129,Behzad,12.85
1130,Shahrzad,12.47
1131,Neda,2.62
1132,Goli,1.47
1133,Goli,12.3
1134,Homa,11.17
1135,Kamran,17.29
1136,Mona,11.08
1137,Katayoun,4.25
1138,Elaheh,3.04
1139,Hassan,5.63
1140,Pouya,0.82
1141,Frank,17.22
1142,Negin,12.4
1143,Ehsan,13.15
1144,Mona,10.26
1145,Fatemeh,12.98
1146,Ramin,16.76
1147,Pegah,9.81
1148,Atiyeh,10.48
1149,Navid,0.6
1150,Ziba,7.49
1151,Leila,18.73
1152,Sohrab,5.93
1153,Oscar,11.41
1154,Mahdi,13.97
1155,Javad,12.77
1156,Mojtaba,7.3
1157,Hassan,2.64
1158,Nader,17.85
1159,Zahra,8.94
1160,Shirin,19.95
1161,Pegah,9.2
1162,Masoud,17.57
1163,Shervin,4.4
1164,Navid,8.92
1165,Shadi,0.82
1166,Eva,14.1
1167,Mehdi,3.81
1168,Reza,16.9
1169,Rose,15.17
1170,Ali,18.76
1171,Fariba,15.05
1172,Mehdi,11.98
1173,Dariush,5.47
1174,Elaheh,10.54
1175,Navid,11.06
1176,Nasrin,18.11
1177,Pegah,13.54
1178,Quinn,17.9
1179,Mahdi,16.45
1180,Soraya,11.23
1181,Maryam,19.35
1182,Mohammad,4.62
1183,Shiva,15.18
1184,Golnaz,18.9
1185,Katayoun,12.79
1186,Bob,7.34
1187,Dariush,11.02
1188,Grace,18.33
1189,Hassan,14.03
1190,Bahareh,14.81
1191,Nina,16.62
1192,Ghazal,5.99
1193,Shirin,1.26
1194,Mandana,3.38
1195,Rose,6.45
1196,Kate,0.09
1197,Parsa,13.51
1198,Ramin,13.19
1199,Eva,12.95
1200,Ivy,2.72
1201,Arash,4.37
1202,Fereshte,1.7
1203,Pouneh,8.83
1204,Mona,13.44
1205,Siavash,9.48
1206,Ghazal,3.87
1207,Neda,3.33
1208,Behnam,15.03
1209,Hamid,16.18
1210,Fereshte,17.27
1211,Leila,0.51
1212,Rose,2.9
1213,Fatemeh,14.54
1214,Steve,4.75
1215,Shadi,4.29
1216,Quinn,7.01
1217,Farzaneh,10.13
1218,Niloufar,8.31
1219,Hamid,17.96
1220,Ivy,14.48
1221,Mohsen,17.45
1222,Shahrzad,17.06
1223,Shirin,6.6
1224,Jack,18.63
1225,Amir,18.65
1226,Eva,13.61
1227,Hassan,0.95
1228,Mahdi,17.15
1229,Behzad,1.02
1230,Simin,9.26
1231,Neda,15.51
1232,Alice,4.25
1233,Pouya,2.43
1234,Golnaz,8.17
1235,Ehsan,5.14
1236,Hossein,6.33
1237,Masoud,9.57
1238,Mahdi,1.25
1239,Shahram,10.3
1240,Afshin,2.95
1241,Helen,18.32
1242,Amir,15.87
1243,Shirin,9.65
1244,Hamid,11.78
1245,Afshin,8.85
1246,Frank,16.24
1247,Arman,19.83
1248,Liam,3.06
1249,Vahid,6.16
1250,Jack,9.9
1251,Younes,8.12
1252,Shahrzad,13.24
1253,Elham,8.36
